"AnnualIncome","CreditScore","Experience","LoanDuration","NumberOfDependents","MonthlyDebtPayments","CreditCardUtilizationRate","NumberOfOpenCreditLines","NumberOfCreditInquiries","DebtToIncomeRatio","PaymentHistory","LengthOfCreditHistory","SavingsAccountBalance","CheckingAccountBalance","TotalAssets","TotalLiabilities","UtilityBillsPaymentHistory","JobTenure","InterestRate","MonthlyLoanPayment","TotalDebtToIncomeRatio","LoanApproved","EmploymentStatus_Self-Employed","EmploymentStatus_Unemployed","EducationLevel_Associate","EducationLevel_High School","EducationLevel_Master","EducationLevel_Other","MaritalStatus_Divorced","MaritalStatus_Other","MaritalStatus_Single","HomeOwnershipStatus_Other","HomeOwnershipStatus_Own","HomeOwnershipStatus_Rent","LoanPurpose_Auto","LoanPurpose_Debt Consolidation","LoanPurpose_Education","LoanPurpose_Other"
78701,552,18,60,1,482,0.188005301128613,6,1,0.0713019781228964,25,19,463,1585,170720,30154,0.706246374378828,7,0.218912350921585,505.011550315592,0.150495401631327,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24914,604,0,36,4,327,0.376158795200854,1,4,0.644265859972269,17,28,2612,199,49999,8146,0.926016457263729,7,0.152812,278.947581094388,0.291858833311899,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57231,508,0,48,4,370,0.572203517627025,3,0,0.134740613395815,20,21,7737,242,214229,73682,0.50896687095036,8,0.230468198216475,1150.79907648765,0.318875939925073,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
38453,595,26,48,0,560,0.382437704564686,0,0,0.103003264767073,22,20,5165,1539,46352,3481,0.793542960098904,6,0.226230532912701,971.823060228117,0.478034918543089,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
30890,590,16,24,2,289,0.213863749082104,3,1,0.124730217153779,23,6,11162,249,43010,28334,0.808568548732828,7,0.176526645053043,506.32152064059,0.308962714395826,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
15561,500,1,36,2,346,0.104223770705816,6,0,0.374558377183341,25,13,1929,1463,16965,5913,0.598246306645103,4,0.242390299816003,793.820907828075,0.878982770640505,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
53555,631,31,60,1,221,0.257700044195851,0,1,0.147909137742193,28,20,9902,1607,12300,27582,0.800298276877468,4,0.217663879830593,808.590559366012,0.23069903300144,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
58342,519,0,24,3,592,0.159214492758553,3,0,0.19286915587164,20,7,5076,230,25120,15562,0.949535892529353,8,0.260699050163498,543.249360426276,0.233502319514506,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
36057,592,11,36,3,384,0.231684159042131,4,0,0.187428659092861,18,12,2220,438,19637,56982,0.731987106447712,4,0.21428528117705,1117.95361168402,0.499859759275818,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
124086,631,27,24,3,713,0.224482288631073,6,1,0.339714474855531,27,24,3281,1704,32072,21593,0.71596315493031,6,0.167651799187925,1815.22722778743,0.244497580173824,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69003,499,11,96,4,458,0.367662789480444,6,2,0.174379819305949,28,11,983,1153,37496,23994,0.779023357197976,3,0.248414968406005,129.387573057945,0.10214991923098,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
38513,600,16,48,2,373,0.518635365904348,2,0,0.16843582884036,22,29,1458,340,44836,28653,0.875203421759922,4,0.231104162530927,681.577143120785,0.328588417351269,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
77555,527,5,36,0,499,0.0954795705875424,6,1,0.188278148236473,19,22,8710,691,39027,9580,0.882474111777751,5,0.19993006680143,849.255101014461,0.208614031489569,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24973,611,30,48,3,336,0.280081586976994,1,0,0.414994447446385,23,12,3167,1547,44944,30121,0.872346286074827,9,0.221443097594939,551.654440931895,0.426534789219667,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26879,649,21,60,1,562,0.433242500243747,3,2,0.219649579143089,22,29,4029,3740,94575,23485,0.754221407377504,5,0.198963951360761,536.999939490595,0.490643226083081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54128,620,11,36,0,322,0.263498946622371,2,1,0.100135921096617,32,7,4943,388,92000,4196,0.789947459202208,1,0.177753037210015,745.15842415287,0.236585521168978,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35372,612,38,24,1,424,0.291020375896654,3,0,0.404388835697266,20,26,2811,3235,123931,4752,0.857234884655152,3,0.196999657831196,1284.61830628222,0.579651127315014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
58655,523,16,96,4,206,0.415304422203841,4,0,0.175187563141033,24,13,2003,1731,64414,41991,0.852713719728529,1,0.334440137411797,795.165782269816,0.204824642182897,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
92731,619,19,48,1,396,0.12305185150925,4,1,0.221117213852383,20,3,3025,1004,11209,14838,0.553710828124318,3,0.215424503272636,972.630200598894,0.177109730372656,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
42752,517,4,36,2,363,0.357778636079521,3,0,0.297587934069338,18,2,6094,1404,172820,26438,0.816055799105247,4,0.239661811526782,563.873894421655,0.260162956892306,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
60992,663,30,48,0,664,0.252637683873108,0,0,0.0555881712831942,28,17,4726,1723,52202,13350,0.917147963252854,4,0.216449288029176,771.630412566236,0.282456140982339,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
35882,620,11,48,0,257,0.170245836334103,3,0,0.147593004707392,23,11,3552,1162,61154,91262,0.883371578838125,3,0.200011477924951,281.760387200384,0.180177377136297,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
51707,585,18,72,3,407,0.00592238932788811,5,0,0.217388378659015,25,7,3815,1252,24114,24580,0.837323713884401,4,0.268223329089061,563.258304269839,0.225174534419674,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15120,562,11,84,0,423,0.515726665602171,5,1,0.238644521033425,24,26,1874,1245,18522,14697,0.951149524950168,5,0.244170701392202,544.916870459782,0.768187992428399,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
55308,645,22,72,0,362,0.0715581905110223,3,0,0.266209928895191,29,24,5995,932,101618,7871,0.966476270744883,4,0.1696312,434.265166928783,0.17276310846795,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
30948,601,17,36,0,286,0.0509513419696787,1,0,0.360348689376147,19,25,7167,291,99978,21318,0.74357776569212,9,0.223307717595415,970.207872447337,0.487091071131189,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56940,592,21,96,0,213,0.425049982674034,3,0,0.117237584704376,20,7,1349,634,97769,33321,0.790791161390769,5,0.26160149848884,392.966121133006,0.127706242599158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
81554,509,4,72,1,519,0.357920901393728,5,0,0.294323549780177,23,24,3233,1955,84421,14641,0.823124384903693,5,0.316512275360421,1093.62867533643,0.237285039409926,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26567,612,13,60,1,194,0.0873860931301412,1,1,0.0653370744758526,17,14,2738,512,55729,81589,0.682891631246274,4,0.232191324570552,490.980029318058,0.309397385923013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45145,587,17,48,1,879,0.126124945699609,5,0,0.297410249238826,27,24,7060,2678,119670,26515,0.958147173038061,9,0.196131632018912,345.497846865751,0.325483977459054,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
70881,597,23,48,0,324,0.30403187309642,1,1,0.117077159340471,22,19,2050,1136,3628,21804,0.787064061769774,8,0.214166497809452,1078.87018946491,0.237502888977002,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
31713,487,18,48,1,314,0.249955683417554,2,3,0.601057214151716,20,6,395,231,49718,43113,0.978651736189775,3,0.286430461085108,1368.86725582899,0.636786398951467,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29900,536,17,72,3,589,0.103820671265168,3,0,0.185815459141144,28,4,470,2353,23801,36682,0.936513598378478,6,0.299452037510294,703.022859665007,0.51853760254114,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
40722,558,18,120,2,269,0.172711392542244,5,2,0.143886778457811,22,9,9140,398,141270,20184,0.801991761783386,4,0.302798547432138,840.555028275545,0.326964793951833,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
76571,680,49,48,1,407,0.158676837302446,7,2,0.216618899532913,20,3,2220,3117,78008,5915,0.959075228326481,7,0.191127595848055,1023.81120854852,0.22423286234452,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22901,525,14,48,2,288,0.0859222327796731,1,1,0.264111955970849,25,6,3120,3491,99630,10098,0.924738897161791,3,0.253403309389936,616.690288339272,0.474052812544049,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
49421,609,21,72,3,438,0.362115605336224,3,4,0.258787054115364,21,8,10050,1546,17627,40586,0.853843559421957,8,0.258068075954919,470.801035382834,0.220667579057364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
48399,564,29,48,0,346,0.284553044417933,6,1,0.214511769519422,18,19,993,1120,91813,16583,0.881655037538899,1,0.264095005853557,666.367261876668,0.25100533363334,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
44775,574,28,48,4,228,0.153746573012902,3,0,0.19613240009315,28,7,3070,1348,31257,64801,0.84456748953186,5,0.219604326680359,638.192859313713,0.232145489933323,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
34588,621,0,48,0,444,0.215344838353708,4,0,0.281664770867525,36,1,8955,256,89846,11153,0.664763481152689,3,0.240947552134517,619.189731128059,0.368864252733223,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
55383,565,10,48,3,419,0.308094244896413,4,0,0.0936257148249453,18,21,6607,1948,13714,6183,0.637691464655715,2,0.232961140479546,292.921228481801,0.154254098582266,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
65180,551,16,72,2,323,0.262959228791138,1,0,0.189328506640594,24,26,562,1662,64928,61849,0.576122393784362,7,0.23262465758721,390.439527726917,0.13134817939127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66417,590,5,48,3,408,0.644568842556894,3,1,0.190629616405777,27,17,2012,1060,112110,24837,0.758860952512058,9,0.191983111953388,284.836186120297,0.12517931001767,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22121,602,23,60,3,250,0.221027442115277,0,2,0.0641242479182796,32,12,667,2669,63386,7364,0.986744909521513,2,0.237957437960422,538.754413224331,0.42787635996076,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
37558,620,5,60,0,278,0.122147058949472,1,1,0.219745034221239,24,24,4575,1163,9316,17652,0.853223748123218,10,0.22771350496243,524.315301773861,0.256344417202363,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
53444,521,19,60,0,730,0.368490338877253,4,1,0.237526015053893,24,12,4608,638,44150,32195,0.580948446035196,7,0.288080282018206,520.612370899997,0.280805112843349,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
113523,643,33,60,0,427,0.306019261447356,4,2,0.221712025721795,25,18,4279,2107,130005,17536,0.865374165117496,4,0.203889020708671,293.551018996189,0.0761661709781654,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
46717,520,21,60,4,616,0.392678058848104,4,2,0.441898169067374,25,20,1085,2885,8920,11975,0.988907846070159,1,0.245702449077492,608.624593648303,0.314564186993592,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
69876,598,5,96,1,545,0.0114707390916025,3,1,0.258154691123463,31,15,915,506,19626,7056,0.804221282316141,5,0.272305297729485,461.85549173703,0.172910096468664,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
32582,513,4,60,0,231,0.462592067462187,5,1,0.146652254752853,24,21,288,1263,32463,10978,0.851906680879013,4,0.2727079521049,816.489048157751,0.385791804612762,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
24611,548,25,24,0,489,0.577459035432394,0,1,0.222317808740061,30,18,10586,1352,190056,20979,0.756585722646885,5,0.247342382965382,1123.85989442572,0.786409277685128,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
22390,594,21,120,1,389,0.158144930459363,3,5,0.399641943701136,19,23,612,293,24284,46780,0.918248130760982,3,0.292970668112044,454.933116501283,0.452308950335659,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
47430,605,25,60,5,377,0.635142122657291,2,0,0.191575883028812,31,17,673,505,57941,32526,0.716241805056992,5,0.232355477352326,925.805903378463,0.329615661828833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57105,500,6,36,3,168,0.122225235476806,2,1,0.328967582723854,15,20,2593,129,12750,12673,0.713092150367909,6,0.268101330662365,1008.31192975172,0.247189268138003,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
28751,536,21,60,0,343,0.411098167149956,1,3,0.338673752692062,19,5,8298,2785,33961,20305,0.850026706954269,7,0.258890881936069,900.726515761887,0.519102576924025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20113,575,6,36,1,347,0.216274833705684,2,1,0.45272860731236,20,2,4698,1891,99134,46478,0.805018167394396,1,0.226757609360173,1048.85287775263,0.832806370657365,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
93617,557,25,84,0,826,0.185208356900909,7,4,0.467310220549385,18,17,3489,357,79807,54410,0.802460309090082,8,0.246893799025004,272.932155801839,0.140863153803498,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
34276,574,3,96,3,365,0.306851243205116,3,0,0.198152855466824,27,26,3141,42,38198,5950,0.643277815458683,6,0.251665485674522,125.374336361809,0.171679660297051,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
25819,587,25,36,0,103,0.625111013605977,2,2,0.201914092256138,30,5,1622,1914,63582,13848,0.731165608272588,6,0.182182231740934,465.023390180059,0.264002505215566,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
72220,546,5,36,1,533,0.0749757526584197,2,2,0.0943437121914957,27,28,1517,1581,125642,21847,0.858657173303568,9,0.212421408764937,428.495200330902,0.159761041317791,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30032,594,28,24,0,148,0.310708394728745,3,4,0.604385664340831,32,1,1632,524,87958,20361,0.916058478710454,7,0.1951435199277,293.264192426863,0.176317604858896,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
91953,618,29,48,5,264,0.28488079747834,2,1,0.505545748613008,30,4,2879,4094,33213,16233,0.856589661131472,10,0.191006847278655,650.435350432409,0.119335140834871,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
25658,583,7,36,3,374,0.189453554728685,1,1,0.0656446682087653,20,6,2411,480,73838,16061,0.628161982318907,5,0.197495976438478,237.882996372888,0.28617179657318,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
99138,524,19,48,4,472,0.254021747968092,2,2,0.248599600145169,25,24,2596,152,10777,42553,0.757108760482102,6,0.244342502824984,755.604374349542,0.148593400030205,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
48280,581,20,36,4,340,0.245617092578851,0,1,0.236268128684344,28,12,3207,4229,102225,18198,0.72118198795792,2,0.190317237238665,1482.4314109199,0.452965553666917,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88064,568,27,120,0,382,0.418856157456008,2,0,0.109589903343923,28,17,7110,252,161014,25181,0.718313885821319,4,0.25990711229997,566.492436369012,0.129245880682551,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44377,558,13,36,3,215,0.487141345968958,1,1,0.172368674875069,23,19,2782,1457,59951,7527,0.844834197999982,2,0.210405515403454,450.013549735356,0.179826545210904,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
51989,517,5,72,3,351,0.169492132873016,5,0,0.486149060748954,22,3,1462,391,54547,10095,0.837484158288577,6,0.308280968179741,822.147790647699,0.270783694392514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28941,612,3,60,0,112,0.126320772975842,1,1,0.528454794928832,23,8,1934,2041,133058,88914,0.720013118653687,6,0.188136856683858,387.752990892804,0.207215918272128,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
68157,565,14,36,2,394,0.216311172665419,1,1,0.0854081281215184,28,27,4080,422,12695,66526,0.748442361746888,3,0.231503653569272,585.351761841405,0.172428674121467,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117456,579,24,36,5,451,0.24107435064826,2,0,0.118226539976888,18,24,1689,949,31979,20558,0.79821802399884,5,0.218896406576332,660.088887177258,0.113515415526896,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47910,515,15,24,3,447,0.119513307240929,4,0,0.0213720313254243,17,10,3131,2447,68899,11745,0.830638544989031,2,0.239197995664856,1324.36943826823,0.443674248783527,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
111257,487,22,60,0,525,0.419873026283097,2,0,0.185945256417419,25,17,1370,300,24626,30649,0.92786881961478,5,0.273964211124182,572.649283467011,0.118390675657299,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
29020,583,16,60,2,158,0.227759006105254,2,1,0.173766476752064,23,4,713,862,22214,10612,0.938497054853276,5,0.231909136661927,468.935416046115,0.2592427633547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33061,640,30,36,3,384,0.188189018304639,5,2,0.30525133397184,19,25,9144,801,144771,65760,0.646115855288983,5,0.163350961936727,409.036804406439,0.287844942768739,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
91077,550,27,36,4,917,0.109331949644107,1,2,0.115573777809978,22,4,3363,431,17299,34929,0.895732847362347,6,0.291777355302749,1579.16658692845,0.328886536042486,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
44523,613,23,96,3,90,0.153657113448369,2,0,0.422808686098098,30,28,2266,1008,25164,36282,0.780107139023236,4,0.255169233101834,310.084743599112,0.107832287204127,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40998,576,26,48,1,463,0.126345616782855,3,2,0.711083712601645,23,18,2493,1858,16901,30888,0.497817252334233,5,0.245967102820498,960.709634155302,0.416715830281078,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
85512,628,30,48,1,338,0.218746724578068,3,2,0.314813123032829,30,8,2369,1188,149155,52247,0.909841054396669,8,0.182711543864239,601.170280360447,0.13179487515583,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
16619,617,29,48,5,236,0.281497311391014,5,2,0.0923775684443924,23,20,10910,2098,54770,43575,0.784347585635918,3,0.215927232301958,694.097559919191,0.671590993382892,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
30548,490,25,84,0,920,0.0219195364517921,1,1,0.212194089991114,28,26,1701,2417,21711,29011,0.711992803188666,2,0.311562320291904,654.465985273004,0.618488667777794,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35795,510,6,36,2,239,0.0966267479022237,6,0,0.404420977052225,22,15,1038,4134,165933,34105,0.811141875688128,4,0.246407452210352,715.664237240578,0.320043884533788,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
20882,566,14,48,2,671,0.127837930854639,3,2,0.245815681328179,24,25,2011,536,144098,56021,0.784486938734522,7,0.218396123362767,748.967758750972,0.815995264103614,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21573,522,12,48,0,194,0.432945634647089,4,1,0.408702448154023,28,15,2935,229,51753,3910,0.920186292984299,7,0.231705596455333,399.208643194368,0.329972823359404,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
53299,544,0,36,0,630,0.118683857463125,0,2,0.457003658394808,25,24,3678,1968,175920,10093,0.791706164438202,3,0.281908423338051,1503.62616245227,0.480375128040438,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54605,614,11,24,1,462,0.545737673824369,6,1,0.227098889932903,30,18,5395,399,13039,59277,0.839421546896157,4,0.157229046042505,615.463594081527,0.236783502041541,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
56584,615,24,36,2,115,0.171176253557097,4,1,0.49601572112263,25,25,6834,1269,122221,6443,0.929806489621575,5,0.181059317473813,547.50045263368,0.140499177004174,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39637,599,16,24,4,337,0.657760450852076,4,1,0.109721186626074,25,7,823,554,197025,22402,0.711036906725125,5,0.245088583057136,1533.35880440532,0.566246326736732,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
48777,549,8,72,3,176,0.50156553303247,4,0,0.289103818883989,30,4,1382,446,100090,30965,0.804443087968963,4,0.2966013455899,979.525567495739,0.284279615596467,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
43208,564,26,84,3,361,0.722249166050508,4,1,0.34082699369183,33,6,2108,678,23314,73184,0.791042527776835,3,0.2052592,305.74013303205,0.185171301527138,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
18662,544,11,60,1,511,0.276851053054796,4,0,0.427403283952685,25,12,3730,149,94880,7676,0.892980688438312,7,0.26387038327867,866.332377250833,0.885649369146393,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
42209,582,16,48,0,395,0.284773132136709,3,1,0.185024971892861,36,1,794,524,116610,14222,0.911974991020814,7,0.243953539106946,973.398869068314,0.389035192229614,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
68306,583,39,24,2,441,0.0375608964605936,3,3,0.594253569743979,25,3,2656,298,24326,20178,0.809008398978466,8,0.21556277259926,1304.9653836112,0.306731247669815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58991,587,23,48,0,248,0.106292424930804,4,2,0.252038461044104,29,10,5121,838,45657,53110,0.708465384617945,6,0.220188071306204,461.240889786676,0.144274392321543,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
66407,579,42,48,1,235,0.236406128843269,3,1,0.387217726196431,24,19,2825,1628,43020,11353,0.815255777654815,5,0.276122238438848,1525.02851670153,0.318043914051506,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20071,565,28,36,0,484,0.334568913351375,3,2,0.179396674037276,33,7,6135,440,93068,38320,0.822752252114092,9,0.247833229524972,502.861211728143,0.59002214841003,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
34233,599,5,60,0,189,0.580171327282961,6,1,0.393475912133332,25,17,987,95,19661,15644,0.721205265158475,3,0.22928784553809,747.990376758867,0.328451626240949,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
81867,632,20,36,0,390,0.224391971799801,1,0,0.291202109838133,31,13,1014,1142,24707,4629,0.961576087840674,1,0.22310884943431,1380.30779022047,0.259490313345373,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
